Date,time,Flight_index,ATRsum
2018-07-05,0,88,9.175342987525116e-23
2018-07-05,0,89,6.383210724209888e-23
2018-07-05,0,90,5.069390532614464e-23
2018-07-05,0,91,3.5684377465582904e-23
2018-07-05,0,92,3.1502836979614893e-23
2018-07-05,0,93,4.96449932000609e-25
2018-07-05,0,94,1.5945788200349622e-23
2018-07-05,0,95,3.727032235162434e-23
2018-07-05,0,96,3.632745445877792e-23
2018-07-05,0,97,3.25350026353685e-23
2018-07-05,0,98,6.140940603642095e-23
2018-07-05,0,99,3.006692363933694e-23
2018-07-06,0,0,3.425044811006151e-24
2018-07-06,0,1,3.705721928420762e-23
2018-07-06,0,2,5.449147189368079e-23
2018-07-06,0,3,3.8937975930389053e-23
2018-07-06,0,4,5.447448071262762e-23
2018-07-06,0,5,3.965733323647668e-23
2018-07-06,0,6,4.056371491553039e-23
2018-07-06,0,7,3.434211632737121e-23
2018-07-06,0,8,2.1144162915890402e-23
2018-07-06,0,9,7.104340712110534e-23
2018-07-06,0,10,2.9188977899658084e-23
2018-07-06,0,11,3.651549736053404e-23
2018-07-06,0,12,5.2446945346314433e-23
2018-07-06,0,13,5.1173302845930057e-23
2018-07-06,0,14,1.819796185302579e-23
2018-07-06,0,15,6.879599251348529e-23
2018-07-06,0,16,3.847562945038464e-23
2018-07-06,0,17,3.148086778648836e-23
2018-07-06,0,18,2.648785645969144e-23
2018-07-06,0,19,3.909690547494934e-23
2018-07-06,0,20,1.8954651850394505e-23
2018-07-06,0,21,3.840421688069444e-23
2018-07-06,0,22,1.718202063304899e-23
2018-07-06,0,23,2.7460471077514654e-23
2018-07-06,0,24,1.0634221508454693e-23
2018-07-06,0,25,4.8258734098634084e-23
2018-07-06,0,26,4.440230300256165e-23
2018-07-06,0,27,3.873896745518078e-23
2018-07-06,0,28,3.6032497430693576e-23
2018-07-06,0,29,3.3202421023980336e-23
2018-07-06,0,30,5.522209537317351e-23
2018-07-06,0,31,2.8071483961577576e-23
2018-07-06,0,32,3.589987333291972e-23
2018-07-06,0,33,1.8346147453726318e-23
2018-07-06,0,34,4.112450956885069e-23
2018-07-06,0,35,5.379758843122171e-23
2018-07-06,0,36,3.834348021376223e-23
2018-07-06,0,37,9.60695133465029e-24
2018-07-06,0,38,2.0181604716805384e-23
2018-07-06,0,39,6.772591767736373e-23
2018-07-06,0,40,3.7519549109739163e-23
2018-07-06,0,41,4.11274773898331e-23
2018-07-06,0,42,9.215463801300824e-24
2018-07-06,0,43,3.337060469527381e-23
2018-07-06,0,44,2.555710587676992e-23
2018-07-06,0,45,6.96475545301676e-25
2018-07-06,0,46,4.7239392291386873e-23
2018-07-06,0,47,1.191085643958974e-24
2018-07-06,0,48,4.596368444067688e-23
2018-07-06,0,49,6.442837813281208e-23
2018-07-06,0,50,1.4508205854908286e-23
2018-07-06,0,51,6.740667398772256e-23
2018-07-06,0,52,4.494250224019949e-23
2018-07-06,0,53,5.512041220129904e-23
2018-07-06,0,54,7.7716055691170475e-25
2018-07-06,0,55,6.849363608865205e-23
2018-07-06,0,56,4.0964160277928716e-23
2018-07-06,0,57,4.061766828560946e-23
2018-07-06,0,58,4.1802846627802425e-23
2018-07-06,0,59,5.575217187850442e-23
2018-07-06,0,60,1.9919911915636686e-23
2018-07-06,0,61,1.6719214271747706e-23
